Aáhi taria
Banded banjo
Banded Barracuda
Banded Basslet
Banded bellows fish
Banded bellowsfish
Banded blanquillo
Banded blenny
Banded blue sprat
Banded bream
Banded butterflyfish
Banded carpet shark
Banded catfish
Banded catshark
Banded cavalla
Banded characidium
Banded cichlid
Banded cleaner goby
Banded cleaning goby
Banded climbing perch
Banded corydoras
Banded creeping eel
Banded croaker
Banded ctenopoma
Banded cucumberfish
Banded cusk eel
Banded damsel
Banded damsel-fish
Banded damselfish
Banded darter
Banded devilfish
Banded distichodus
Banded dogfish
Banded dragonet
Banded drepane
Banded driftfish
Banded drum
Banded eagle ray
Banded eelpout
Banded etroplus
Banded fightingfish
Banded flower snapper
Banded flyingfish
Banded freshwater pipefish
Banded fringe blenny
Banded frogfish
Banded galjoen
Banded garden eel
Banded goatfish
Banded goby
Banded gourami
Banded grouper
Banded grunt
Banded grunter
Banded guitarfish
Banded gunnel
Banded hawk
Banded horse mackerel
Banded houndshark
Banded humbug
Banded ilisha
Banded jawfish
Banded jewel cichlid
